first_name,last_name,committee,session_year,session_month,session_type,present
Jamaal,Myers,City Council,2022,12,Afternoon,1
Frances,Nunziata,City Council,2022,12,Afternoon,1
James,Pasternak,City Council,2022,12,Afternoon,1
Gord,Perks,City Council,2022,12,Afternoon,1
Anthony,Perruzza,City Council,2022,12,Afternoon,1
Jaye,Robinson,City Council,2022,12,Afternoon,0
Dianne,Saxe,City Council,2022,12,Afternoon,1
Michael,Thompson,City Council,2022,12,Afternoon,1
John,Tory,City Council,2022,12,Afternoon,1
Paul,Ainslie,City Council,2022,12,Afternoon,1
Brad,Bradford,City Council,2022,12,Afternoon,1
Alejandra,Bravo,City Council,2022,12,Afternoon,1
Jon,Burnside,City Council,2022,12,Afternoon,1
Shelley,Carroll,City Council,2022,12,Afternoon,1
Lily,Cheng,City Council,2022,12,Afternoon,1
Mike,Colle,City Council,2022,12,Afternoon,1
Gary,Crawford,City Council,2022,12,Afternoon,1
Vincent,Crisanti,City Council,2022,12,Afternoon,1
Paula,Fletcher,City Council,2022,12,Afternoon,1
Stephen,Holyday,City Council,2022,12,Afternoon,1
Ausma,Malik,City Council,2022,12,Afternoon,1
Nick,Mantas,City Council,2022,12,Afternoon,1
Josh,Matlow,City Council,2022,12,Afternoon,1
Jennifer,McKelvie,City Council,2022,12,Afternoon,1
Chris,Moise,City Council,2022,12,Afternoon,1
Amber,Morley,City Council,2022,12,Afternoon,1
Jamaal,Myers,City Council,2022,12,Afternoon,1
Frances,Nunziata,City Council,2022,12,Afternoon,1
James,Pasternak,City Council,2022,12,Afternoon,1
Gord,Perks,City Council,2022,12,Afternoon,1
Anthony,Perruzza,City Council,2022,12,Afternoon,1
Jaye,Robinson,City Council,2022,12,Afternoon,1
Dianne,Saxe,City Council,2022,12,Afternoon,1
Michael,Thompson,City Council,2022,12,Afternoon,1
John,Tory,City Council,2022,12,Afternoon,1
Paul,Ainslie,City Council,2022,12,Morning,1
Brad,Bradford,City Council,2022,12,Morning,1
Alejandra,Bravo,City Council,2022,12,Morning,1
Jon,Burnside,City Council,2022,12,Morning,1
Shelley,Carroll,City Council,2022,12,Morning,1
Lily,Cheng,City Council,2022,12,Morning,1
Mike,Colle,City Council,2022,12,Morning,1
Gary,Crawford,City Council,2022,12,Morning,1
Vincent,Crisanti,City Council,2022,12,Morning,1
Paula,Fletcher,City Council,2022,12,Morning,1
Stephen,Holyday,City Council,2022,12,Morning,1
Ausma,Malik,City Council,2022,12,Morning,1
Nick,Mantas,City Council,2022,12,Morning,1
Josh,Matlow,City Council,2022,12,Morning,1
Jennifer,McKelvie,City Council,2022,12,Morning,1
Chris,Moise,City Council,2022,12,Morning,1
Amber,Morley,City Council,2022,12,Morning,1
Jamaal,Myers,City Council,2022,12,Morning,1
Frances,Nunziata,City Council,2022,12,Morning,1
James,Pasternak,City Council,2022,12,Morning,1
Gord,Perks,City Council,2022,12,Morning,1
Anthony,Perruzza,City Council,2022,12,Morning,1
Jaye,Robinson,City Council,2022,12,Morning,1
Dianne,Saxe,City Council,2022,12,Morning,1
Michael,Thompson,City Council,2022,12,Morning,1
John,Tory,City Council,2022,12,Morning,1
Paul,Ainslie,City Council,2022,12,Afternoon,1
Brad,Bradford,City Council,2022,12,Afternoon,1
Alejandra,Bravo,City Council,2022,12,Afternoon,1
Jon,Burnside,City Council,2022,12,Afternoon,1
Shelley,Carroll,City Council,2022,12,Afternoon,1
Lily,Cheng,City Council,2022,12,Afternoon,1
Mike,Colle,City Council,2022,12,Afternoon,1
Gary,Crawford,City Council,2022,12,Afternoon,1
Vincent,Crisanti,City Council,2022,12,Afternoon,1
Paula,Fletcher,City Council,2022,12,Afternoon,1
Stephen,Holyday,City Council,2022,12,Afternoon,1
Ausma,Malik,City Council,2022,12,Afternoon,1
Nick,Mantas,City Council,2022,12,Afternoon,1
Josh,Matlow,City Council,2022,12,Afternoon,1
Jennifer,McKelvie,City Council,2022,12,Afternoon,1
Chris,Moise,City Council,2022,12,Afternoon,1
Amber,Morley,City Council,2022,12,Afternoon,1
Jamaal,Myers,City Council,2022,12,Afternoon,1
Frances,Nunziata,City Council,2022,12,Afternoon,1
James,Pasternak,City Council,2022,12,Afternoon,1
Gord,Perks,City Council,2022,12,Afternoon,1
Anthony,Perruzza,City Council,2022,12,Afternoon,1
Jaye,Robinson,City Council,2022,12,Afternoon,1
Dianne,Saxe,City Council,2022,12,Afternoon,1
Michael,Thompson,City Council,2022,12,Afternoon,1
John,Tory,City Council,2022,12,Afternoon,1
Paul,Ainslie,City Council,2022,12,Afternoon,1
Brad,Bradford,City Council,2022,12,Afternoon,1
Alejandra,Bravo,City Council,2022,12,Afternoon,1
Jon,Burnside,City Council,2022,12,Afternoon,1
Shelley,Carroll,City Council,2022,12,Afternoon,1
Lily,Cheng,City Council,2022,12,Afternoon,1
Mike,Colle,City Council,2022,12,Afternoon,1
Gary,Crawford,City Council,2022,12,Afternoon,1
Vincent,Crisanti,City Council,2022,12,Afternoon,1
Paula,Fletcher,City Council,2022,12,Afternoon,1
Stephen,Holyday,City Council,2022,12,Afternoon,1
Ausma,Malik,City Council,2022,12,Afternoon,1
Nick,Mantas,City Council,2022,12,Afternoon,1
Josh,Matlow,City Council,2022,12,Afternoon,1
Jennifer,McKelvie,City Council,2022,12,Afternoon,1
Chris,Moise,City Council,2022,12,Afternoon,1
Amber,Morley,City Council,2022,12,Afternoon,1
Jamaal,Myers,City Council,2022,12,Afternoon,1
Frances,Nunziata,City Council,2022,12,Afternoon,1
James,Pasternak,City Council,2022,12,Afternoon,1
Gord,Perks,City Council,2022,12,Afternoon,1
Anthony,Perruzza,City Council,2022,12,Afternoon,1
Jaye,Robinson,City Council,2022,12,Afternoon,1
Dianne,Saxe,City Council,2022,12,Afternoon,1
Michael,Thompson,City Council,2022,12,Afternoon,1
John,Tory,City Council,2022,12,Afternoon,1
Paul,Ainslie,City Council,2023,02,Morning,1
Brad,Bradford,City Council,2023,02,Morning,1
Alejandra,Bravo,City Council,2023,02,Morning,1
Jon,Burnside,City Council,2023,02,Morning,1
Shelley,Carroll,City Council,2023,02,Morning,1
Lily,Cheng,City Council,2023,02,Morning,1
Mike,Colle,City Council,2023,02,Morning,1
Gary,Crawford,City Council,2023,02,Morning,1
Vincent,Crisanti,City Council,2023,02,Morning,1
Paula,Fletcher,City Council,2023,02,Morning,1
Stephen,Holyday,City Council,2023,02,Morning,1
Ausma,Malik,City Council,2023,02,Morning,1
Nick,Mantas,City Council,2023,02,Morning,1
Josh,Matlow,City Council,2023,02,Morning,1
Jennifer,McKelvie,City Council,2023,02,Morning,1
Chris,Moise,City Council,2023,02,Morning,1
Amber,Morley,City Council,2023,02,Morning,1
Jamaal,Myers,City Council,2023,02,Morning,1
Frances,Nunziata,City Council,2023,02,Morning,1
James,Pasternak,City Council,2023,02,Morning,1
Gord,Perks,City Council,2023,02,Morning,1
Anthony,Perruzza,City Council,2023,02,Morning,1
Jaye,Robinson,City Council,2023,02,Morning,1
Dianne,Saxe,City Council,2023,02,Morning,1
Michael,Thompson,City Council,2023,02,Morning,1
John,Tory,City Council,2023,02,Morning,1
Paul,Ainslie,City Council,2023,02,Afternoon,1
Brad,Bradford,City Council,2023,02,Afternoon,1
Alejandra,Bravo,City Council,2023,02,Afternoon,1
Jon,Burnside,City Council,2023,02,Afternoon,1
Shelley,Carroll,City Council,2023,02,Afternoon,1
Lily,Cheng,City Council,2023,02,Afternoon,1
Mike,Colle,City Council,2023,02,Afternoon,1
Gary,Crawford,City Council,2023,02,Afternoon,1
Vincent,Crisanti,City Council,2023,02,Afternoon,1
Paula,Fletcher,City Council,2023,02,Afternoon,1
Stephen,Holyday,City Council,2023,02,Afternoon,1
Ausma,Malik,City Council,2023,02,Afternoon,1
Nick,Mantas,City Council,2023,02,Afternoon,1
Josh,Matlow,City Council,2023,02,Afternoon,1
Jennifer,McKelvie,City Council,2023,02,Afternoon,1
Chris,Moise,City Council,2023,02,Afternoon,1
Amber,Morley,City Council,2023,02,Afternoon,1
Jamaal,Myers,City Council,2023,02,Afternoon,1
Frances,Nunziata,City Council,2023,02,Afternoon,1
James,Pasternak,City Council,2023,02,Afternoon,1
Gord,Perks,City Council,2023,02,Afternoon,1
Anthony,Perruzza,City Council,2023,02,Afternoon,1
Jaye,Robinson,City Council,2023,02,Afternoon,1
Dianne,Saxe,City Council,2023,02,Afternoon,1
Michael,Thompson,City Council,2023,02,Afternoon,1
John,Tory,City Council,2023,02,Afternoon,1
Paul,Ainslie,City Council,2023,02,Afternoon,1
Brad,Bradford,City Council,2023,02,Afternoon,1
Alejandra,Bravo,City Council,2023,02,Afternoon,1
Jon,Burnside,City Council,2023,02,Afternoon,1
Shelley,Carroll,City Council,2023,02,Afternoon,1
Lily,Cheng,City Council,2023,02,Afternoon,1
Mike,Colle,City Council,2023,02,Afternoon,1
Gary,Crawford,City Council,2023,02,Afternoon,1
Vincent,Crisanti,City Council,2023,02,Afternoon,1
Paula,Fletcher,City Council,2023,02,Afternoon,1
Stephen,Holyday,City Council,2023,02,Afternoon,1
Ausma,Malik,City Council,2023,02,Afternoon,1
Nick,Mantas,City Council,2023,02,Afternoon,1
Josh,Matlow,City Council,2023,02,Afternoon,1
Jennifer,McKelvie,City Council,2023,02,Afternoon,1
Chris,Moise,City Council,2023,02,Afternoon,1
Amber,Morley,City Council,2023,02,Afternoon,1
Jamaal,Myers,City Council,2023,02,Afternoon,1
Frances,Nunziata,City Council,2023,02,Afternoon,1
James,Pasternak,City Council,2023,02,Afternoon,1
Gord,Perks,City Council,2023,02,Afternoon,1
Anthony,Perruzza,City Council,2023,02,Afternoon,1
Jaye,Robinson,City Council,2023,02,Afternoon,1
Dianne,Saxe,City Council,2023,02,Afternoon,1
Michael,Thompson,City Council,2023,02,Afternoon,1
John,Tory,City Council,2023,02,Afternoon,1
Paul,Ainslie,City Council,2023,02,Morning,1
Brad,Bradford,City Council,2023,02,Morning,1
Alejandra,Bravo,City Council,2023,02,Morning,1
Jon,Burnside,City Council,2023,02,Morning,1
Shelley,Carroll,City Council,2023,02,Morning,1
Lily,Cheng,City Council,2023,02,Morning,1
Mike,Colle,City Council,2023,02,Morning,1
Gary,Crawford,City Council,2023,02,Morning,1
Vincent,Crisanti,City Council,2023,02,Morning,1
Paula,Fletcher,City Council,2023,02,Morning,1
Stephen,Holyday,City Council,2023,02,Morning,1
Ausma,Malik,City Council,2023,02,Morning,1
Nick,Mantas,City Council,2023,02,Morning,1
Josh,Matlow,City Council,2023,02,Morning,1
Jennifer,McKelvie,City Council,2023,02,Morning,1
Chris,Moise,City Council,2023,02,Morning,1
Amber,Morley,City Council,2023,02,Morning,1
Jamaal,Myers,City Council,2023,02,Morning,1
Frances,Nunziata,City Council,2023,02,Morning,1
James,Pasternak,City Council,2023,02,Morning,1
Gord,Perks,City Council,2023,02,Morning,1
Anthony,Perruzza,City Council,2023,02,Morning,1
Jaye,Robinson,City Council,2023,02,Morning,1
Dianne,Saxe,City Council,2023,02,Morning,1
Michael,Thompson,City Council,2023,02,Morning,1
John,Tory,City Council,2023,02,Morning,1
Paul,Ainslie,City Council,2023,02,Afternoon,1
Brad,Bradford,City Council,2023,02,Afternoon,1
Alejandra,Bravo,City Council,2023,02,Afternoon,1
Jon,Burnside,City Council,2023,02,Afternoon,1
Shelley,Carroll,City Council,2023,02,Afternoon,1
Lily,Cheng,City Council,2023,02,Afternoon,1
Mike,Colle,City Council,2023,02,Afternoon,1
Gary,Crawford,City Council,2023,02,Afternoon,1
Vincent,Crisanti,City Council,2023,02,Afternoon,1
Paula,Fletcher,City Council,2023,02,Afternoon,1
Stephen,Holyday,City Council,2023,02,Afternoon,1
Ausma,Malik,City Council,2023,02,Afternoon,1
Nick,Mantas,City Council,2023,02,Afternoon,1
Josh,Matlow,City Council,2023,02,Afternoon,1
Jennifer,McKelvie,City Council,2023,02,Afternoon,1
Chris,Moise,City Council,2023,02,Afternoon,1
Amber,Morley,City Council,2023,02,Afternoon,1
Jamaal,Myers,City Council,2023,02,Afternoon,1
Frances,Nunziata,City Council,2023,02,Afternoon,1
James,Pasternak,City Council,2023,02,Afternoon,1
Gord,Perks,City Council,2023,02,Afternoon,1
Anthony,Perruzza,City Council,2023,02,Afternoon,1
Jaye,Robinson,City Council,2023,02,Afternoon,1
Dianne,Saxe,City Council,2023,02,Afternoon,1
Michael,Thompson,City Council,2023,02,Afternoon,1
John,Tory,City Council,2023,02,Afternoon,1
Paul,Ainslie,City Council,2023,02,Afternoon,1
Brad,Bradford,City Council,2023,02,Afternoon,1
Alejandra,Bravo,City Council,2023,02,Afternoon,1
Jon,Burnside,City Council,2023,02,Afternoon,1
Shelley,Carroll,City Council,2023,02,Afternoon,1
Lily,Cheng,City Council,2023,02,Afternoon,1
Mike,Colle,City Council,2023,02,Afternoon,1
Gary,Crawford,City Council,2023,02,Afternoon,1
Vincent,Crisanti,City Council,2023,02,Afternoon,1
Paula,Fletcher,City Council,2023,02,Afternoon,1
Stephen,Holyday,City Council,2023,02,Afternoon,1
Ausma,Malik,City Council,2023,02,Afternoon,1
Nick,Mantas,City Council,2023,02,Afternoon,1
Josh,Matlow,City Council,2023,02,Afternoon,1
Jennifer,McKelvie,City Council,2023,02,Afternoon,1
Chris,Moise,City Council,2023,02,Afternoon,1
Amber,Morley,City Council,2023,02,Afternoon,1
Jamaal,Myers,City Council,2023,02,Afternoon,1
Frances,Nunziata,City Council,2023,02,Afternoon,1
James,Pasternak,City Council,2023,02,Afternoon,1
Gord,Perks,City Council,2023,02,Afternoon,1
Anthony,Perruzza,City Council,2023,02,Afternoon,1
Jaye,Robinson,City Council,2023,02,Afternoon,1
Dianne,Saxe,City Council,2023,02,Afternoon,1
Michael,Thompson,City Council,2023,02,Afternoon,1
John,Tory,City Council,2023,02,Afternoon,1
Paul,Ainslie,City Council,2023,02,Afternoon,1
Brad,Bradford,City Council,2023,02,Afternoon,1
Alejandra,Bravo,City Council,2023,02,Afternoon,1
Jon,Burnside,City Council,2023,02,Afternoon,1
Shelley,Carroll,City Council,2023,02,Afternoon,1
Lily,Cheng,City Council,2023,02,Afternoon,1
Mike,Colle,City Council,2023,02,Afternoon,1
Gary,Crawford,City Council,2023,02,Afternoon,1
Vincent,Crisanti,City Council,2023,02,Afternoon,0
Paula,Fletcher,City Council,2023,02,Afternoon,1
Stephen,Holyday,City Council,2023,02,Afternoon,1
Ausma,Malik,City Council,2023,02,Afternoon,1
Nick,Mantas,City Council,2023,02,Afternoon,1
Josh,Matlow,City Council,2023,02,Afternoon,1
Jennifer,McKelvie,City Council,2023,02,Afternoon,1
Chris,Moise,City Council,2023,02,Afternoon,1
Amber,Morley,City Council,2023,02,Afternoon,1
Jamaal,Myers,City Council,2023,02,Afternoon,1
Frances,Nunziata,City Council,2023,02,Afternoon,1
James,Pasternak,City Council,2023,02,Afternoon,0
Gord,Perks,City Council,2023,02,Afternoon,1
Anthony,Perruzza,City Council,2023,02,Afternoon,1
Jaye,Robinson,City Council,2023,02,Afternoon,1
Dianne,Saxe,City Council,2023,02,Afternoon,1
Michael,Thompson,City Council,2023,02,Afternoon,1
John,Tory,City Council,2023,02,Afternoon,1
Paul,Ainslie,City Council,2023,02,Evening,1
Brad,Bradford,City Council,2023,02,Evening,1
Alejandra,Bravo,City Council,2023,02,Evening,1
Jon,Burnside,City Council,2023,02,Evening,1
Shelley,Carroll,City Council,2023,02,Evening,1
Lily,Cheng,City Council,2023,02,Evening,0
Mike,Colle,City Council,2023,02,Evening,1
Gary,Crawford,City Council,2023,02,Evening,1
Vincent,Crisanti,City Council,2023,02,Evening,0
Paula,Fletcher,City Council,2023,02,Evening,1
Stephen,Holyday,City Council,2023,02,Evening,1
Ausma,Malik,City Council,2023,02,Evening,0
Nick,Mantas,City Council,2023,02,Evening,1
Josh,Matlow,City Council,2023,02,Evening,1
Jennifer,McKelvie,City Council,2023,02,Evening,1
Chris,Moise,City Council,2023,02,Evening,1
Amber,Morley,City Council,2023,02,Evening,1
Jamaal,Myers,City Council,2023,02,Evening,1
Frances,Nunziata,City Council,2023,02,Evening,1
James,Pasternak,City Council,2023,02,Evening,0
Gord,Perks,City Council,2023,02,Evening,1
Anthony,Perruzza,City Council,2023,02,Evening,1
Jaye,Robinson,City Council,2023,02,Evening,1
Dianne,Saxe,City Council,2023,02,Evening,1
Michael,Thompson,City Council,2023,02,Evening,1
John,Tory,City Council,2023,02,Evening,1
Paul,Ainslie,City Council,2023,02,Morning,1
Brad,Bradford,City Council,2023,02,Morning,1
Alejandra,Bravo,City Council,2023,02,Morning,1
Jon,Burnside,City Council,2023,02,Morning,1
Shelley,Carroll,City Council,2023,02,Morning,1
Lily,Cheng,City Council,2023,02,Morning,1
Mike,Colle,City Council,2023,02,Morning,1
Gary,Crawford,City Council,2023,02,Morning,1
Vincent,Crisanti,City Council,2023,02,Morning,1
Paula,Fletcher,City Council,2023,02,Morning,1
Stephen,Holyday,City Council,2023,02,Morning,1
Ausma,Malik,City Council,2023,02,Morning,1
Nick,Mantas,City Council,2023,02,Morning,1
Josh,Matlow,City Council,2023,02,Morning,1
Jennifer,McKelvie,City Council,2023,02,Morning,1
Chris,Moise,City Council,2023,02,Morning,1
Amber,Morley,City Council,2023,02,Morning,1
Jamaal,Myers,City Council,2023,02,Morning,1
Frances,Nunziata,City Council,2023,02,Morning,1
James,Pasternak,City Council,2023,02,Morning,1
Gord,Perks,City Council,2023,02,Morning,1
Anthony,Perruzza,City Council,2023,02,Morning,1
Jaye,Robinson,City Council,2023,02,Morning,1
Dianne,Saxe,City Council,2023,02,Morning,1
Michael,Thompson,City Council,2023,02,Morning,1
John,Tory,City Council,2023,02,Morning,1
Paul,Ainslie,City Council,2023,02,Morning,0
Brad,Bradford,City Council,2023,02,Morning,1
Alejandra,Bravo,City Council,2023,02,Morning,1
Jon,Burnside,City Council,2023,02,Morning,1
Shelley,Carroll,City Council,2023,02,Morning,0
Lily,Cheng,City Council,2023,02,Morning,1
Mike,Colle,City Council,2023,02,Morning,1
Gary,Crawford,City Council,2023,02,Morning,1
Vincent,Crisanti,City Council,2023,02,Morning,1
Paula,Fletcher,City Council,2023,02,Morning,1
Stephen,Holyday,City Council,2023,02,Morning,1
Ausma,Malik,City Council,2023,02,Morning,1
Nick,Mantas,City Council,2023,02,Morning,1
Josh,Matlow,City Council,2023,02,Morning,1
Jennifer,McKelvie,City Council,2023,02,Morning,0
Chris,Moise,City Council,2023,02,Morning,1
Amber,Morley,City Council,2023,02,Morning,1
Jamaal,Myers,City Council,2023,02,Morning,1
Frances,Nunziata,City Council,2023,02,Morning,1
James,Pasternak,City Council,2023,02,Morning,1
Gord,Perks,City Council,2023,02,Morning,1
Anthony,Perruzza,City Council,2023,02,Morning,1
Jaye,Robinson,City Council,2023,02,Morning,1
Dianne,Saxe,City Council,2023,02,Morning,1
Michael,Thompson,City Council,2023,02,Morning,0
John,Tory,City Council,2023,02,Morning,1
Paul,Ainslie,City Council,2023,02,Morning,1
Brad,Bradford,City Council,2023,02,Morning,1
Alejandra,Bravo,City Council,2023,02,Morning,1
Jon,Burnside,City Council,2023,02,Morning,1
Shelley,Carroll,City Council,2023,02,Morning,1
Lily,Cheng,City Council,2023,02,Morning,1
Mike,Colle,City Council,2023,02,Morning,0
Gary,Crawford,City Council,2023,02,Morning,1
Vincent,Crisanti,City Council,2023,02,Morning,1
Paula,Fletcher,City Council,2023,02,Morning,1
Stephen,Holyday,City Council,2023,02,Morning,1
Ausma,Malik,City Council,2023,02,Morning,1
Nick,Mantas,City Council,2023,02,Morning,1
Josh,Matlow,City Council,2023,02,Morning,1
Jennifer,McKelvie,City Council,2023,02,Morning,1
Chris,Moise,City Council,2023,02,Morning,1
Amber,Morley,City Council,2023,02,Morning,1
Jamaal,Myers,City Council,2023,02,Morning,1
Frances,Nunziata,City Council,2023,02,Morning,1
James,Pasternak,City Council,2023,02,Morning,1
Gord,Perks,City Council,2023,02,Morning,1
Anthony,Perruzza,City Council,2023,02,Morning,1
Jaye,Robinson,City Council,2023,02,Morning,1
Dianne,Saxe,City Council,2023,02,Morning,1
Michael,Thompson,City Council,2023,02,Morning,1
John,Tory,City Council,2023,02,Morning,1
Paul,Ainslie,City Council,2023,02,Afternoon,1
Brad,Bradford,City Council,2023,02,Afternoon,1
Alejandra,Bravo,City Council,2023,02,Afternoon,1
Jon,Burnside,City Council,2023,02,Afternoon,1
Shelley,Carroll,City Council,2023,02,Afternoon,1
Lily,Cheng,City Council,2023,02,Afternoon,1
Mike,Colle,City Council,2023,02,Afternoon,1
Gary,Crawford,City Council,2023,02,Afternoon,1
Vincent,Crisanti,City Council,2023,02,Afternoon,1
Paula,Fletcher,City Council,2023,02,Afternoon,1
Stephen,Holyday,City Council,2023,02,Afternoon,1
Ausma,Malik,City Council,2023,02,Afternoon,1
Nick,Mantas,City Council,2023,02,Afternoon,1
Josh,Matlow,City Council,2023,02,Afternoon,1
Jennifer,McKelvie,City Council,2023,02,Afternoon,1
Chris,Moise,City Council,2023,02,Afternoon,1
Amber,Morley,City Council,2023,02,Afternoon,1
Jamaal,Myers,City Council,2023,02,Afternoon,1
Frances,Nunziata,City Council,2023,02,Afternoon,1
James,Pasternak,City Council,2023,02,Afternoon,1
Gord,Perks,City Council,2023,02,Afternoon,1
Anthony,Perruzza,City Council,2023,02,Afternoon,1
Jaye,Robinson,City Council,2023,02,Afternoon,1
Dianne,Saxe,City Council,2023,02,Afternoon,1
Michael,Thompson,City Council,2023,02,Afternoon,1
